File,Link
aws-properties-sagemaker-endpointconfig-clarifyexplainerconfig.md, https://drive.google.com/file/d/1z68hTMqjLLBumlwDxhC1JMy0zEBhL_yL/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-clarifyfeaturetype.md, https://drive.google.com/file/d/12XZ2FTUstVn8bHZgeoJxAGNsG-dj_ny0/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-clarifyheader.md, https://drive.google.com/file/d/1usomAJBpDXSX8MinfhlSBYd675jwJJYd/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-clarifyinferenceconfig.md, https://drive.google.com/file/d/1ReKr6jYIU1q-Y5Ihest4vhAacp9Dugy9/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-clarifyshapbaselineconfig.md, https://drive.google.com/file/d/1RbG-CbU8kXlfI97cyREz1Rz244PlB0KT/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-clarifyshapconfig.md, https://drive.google.com/file/d/1A4OUuzcYS3xceVOt5vilkBcmhknbXbkX/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-clarifytextconfig.md, https://drive.google.com/file/d/1Dy-ouo_vMw1i8GJtrPasaiHm6gofmMyq/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-datacaptureconfig.md, https://drive.google.com/file/d/18_7jb4rXF6aoMth5Ov-dS4P-yyciYN_L/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-datacaptureconfig-capturecontenttypeheader.md, https://drive.google.com/file/d/10YTr99hNn54ebGajhaKxZSV6SLQbUOpj/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-explainerconfig.md, https://drive.google.com/file/d/1AKJO7BLfNsyWQUdPc-guchoRcwMZTu2P/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-productionvariant.md, https://drive.google.com/file/d/1rkF5Y7h4qqYr4rrYbVhhlAvG61_Gq3oU/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-productionvariant-serverlessconfig.md, https://drive.google.com/file/d/1yzxTaWqLY9CsXgv7wC5LI6ww5JiK67Ta/view?usp=drive_link
aws-properties-sagemaker-endpoint-deploymentconfig.md, https://drive.google.com/file/d/1RLrFnNPuquhO5H78o8ZGHbKzW9m9oeAY/view?usp=drive_link
aws-properties-sagemaker-endpoint-trafficroutingconfig.md, https://drive.google.com/file/d/1TaOGhdybv1qGKtba-B8hpwX1RdBgMmBX/view?usp=drive_link
aws-properties-sagemaker-endpoint-variantproperty.md, https://drive.google.com/file/d/1qcmAtKte0uNWIIFsnx5NVKkzga17beEY/view?usp=drive_link
aws-properties-sagemaker-featuregroup-datacatalogconfig.md, https://drive.google.com/file/d/1FvU-AyFH-s1yDDZp7dXkENphC9oQDLTe/view?usp=drive_link
aws-properties-sagemaker-featuregroup-featuredefinition.md, https://drive.google.com/file/d/1PDe4ZS9maHI2oBvj6tvUo3a3HonIlR-H/view?usp=drive_link
aws-properties-sagemaker-featuregroup-offlinestoreconfig.md, https://drive.google.com/file/d/1B-dc0X-VZYeU1Fo6U831jbRma7Vlj6in/view?usp=drive_link
aws-properties-sagemaker-featuregroup-onlinestoreconfig.md, https://drive.google.com/file/d/1IFycRAMPYbB8M2UlT_I6CROdMDyHI5KX/view?usp=drive_link
aws-properties-sagemaker-featuregroup-onlinestoresecurityconfig.md, https://drive.google.com/file/d/1svph9535O2HTnsjMmFZp689AmrU6tEw3/view?usp=drive_link
aws-properties-sagemaker-featuregroup-s3storageconfig.md, https://drive.google.com/file/d/1sn0zaTSiq2oIMot55XO8e51lHyYF4O_N/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-capturecontenttypeheader.md, https://drive.google.com/file/d/1Zj0ry9vXYQSehX_N24D_M5_YxQR8qbj6/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-datastorageconfig.md, https://drive.google.com/file/d/1HqW61QWJABKDReI7LweaNYJx1PHdz_JC/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-endpointmetadata.md, https://drive.google.com/file/d/1Leku_1RdJBoumwefDVapu_MN3gvmNJxT/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-inferenceexperimentschedule.md, https://drive.google.com/file/d/1e5KeZHcxyl2KS2fp_rUG2ShqS2921Co9/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-modelinfrastructureconfig.md, https://drive.google.com/file/d/1vTHJRye9miRcjUvD3HRLmyxZk6tBffq_/view?usp=drive_link
